Year,State,County ANSI,Value,Type
2017,s17,c187,246.7,C
2018,s17,c041,246,C
2018,s17,c147,241.8,C
2018,s17,c187,241.7,C
2019,s13,c165,240,C
2018,s17,c115,239.9,C
2017,s17,c131,238.7,C
2017,s17,c015,238,C
2018,s17,c167,236.4,C
2018,s17,c107,236.2,C
2016,s17,c179,236,C
2014,s17,c115,236,C
2018,s17,c179,235.4,C
2018,s17,c049,235.2,C
2014,s17,c147,235.2,C
2019,s19,c047,234.7,C
2018,s17,c029,234.3,C
2018,s17,c175,234,C
2018,s17,c139,233.9,C
2018,s17,c067,233.8,C
2018,s31,c047,233.5,C
2010,s48,c341,233.2,C
2018,s17,c021,232.9,C
2016,s17,c203,232.8,C
2016,s17,c015,231.9,C
2018,s17,c131,231.3,C
2014,s17,c107,230.8,C
2017,s17,c123,230.7,C
2017,s17,c175,230.4,C
2011,s13,c253,229.9,C
2017,s17,c095,229.5,C
2018,s17,c113,229.3,C
2016,s17,c187,229.2,C
2018,s17,c143,228.9,C
2018,s17,c109,228.9,C
2018,s17,c137,228.5,C
2018,s31,c137,228.5,C
2017,s17,c179,227.9,C
2017,s17,c143,227.7,C
2014,s17,c167,226.8,C
2018,s17,c095,226.5,C
2018,s19,c127,226,C
2016,s17,c141,225.9,C
2016,s17,c175,225.7,C
2018,s17,c173,225.4,C
2018,s19,c075,225.2,C
2017,s17,c161,225.2,C
2018,s17,c039,225,C
2018,s19,c055,224.8,C
2017,s17,c167,224.4,C
2014,s17,c179,224.4,C
2018,s19,c171,224.3,C
2015,s31,c137,224,C
2014,s17,c041,224,C
2017,s17,c113,223.9,C
2017,s17,c071,223.9,C
2018,s31,c081,223.8,C
2016,s46,c101,223.8,C
2019,s19,c113,223.7,C
2018,s17,c203,223.7,C
2018,s31,c019,223.6,C
2018,s17,c017,223.5,C
2018,s17,c161,223.4,C
2016,s17,c095,223.3,C
2014,s17,c139,223.3,C
2014,s17,c137,223.3,C
2017,s17,c067,222.9,C
2018,s17,c135,222.8,C
2010,s48,c421,222.8,C
2014,s17,c129,222.7,C
2014,s31,c137,222.7,C
2017,s19,c127,222.4,C
2018,s19,c031,222.3,C
2017,s19,c031,222.3,C
2018,s19,c093,222.2,C
2016,s17,c167,222.1,C
2019,s19,c127,221.9,C
2017,s19,c047,221.9,C
2017,s17,c109,221.8,C
2018,s17,c019,221.3,C
2017,s19,c019,221.3,C
2014,s17,c039,221,C
2017,s48,c421,220.9,C
2016,s48,c421,220.8,C
2017,s17,c129,220.7,C
2017,s19,c167,220.7,C
2019,s19,c161,220.6,C
2017,s19,c171,220.6,C
2015,s17,c147,220.5,C
2013,s48,c341,220.5,C
2017,s19,c183,220.4,C
2017,s17,c021,220,C
2017,s19,c163,220,C
2012,s13,c081,220,C
2017,s31,c017,219.9,C
2019,s19,c027,219.7,C
2016,s19,c035,219.7,C
2017,s31,c137,219.6,C
2018,s17,c073,219.5,C
2016,s17,c107,219.4,C
2015,s48,c421,219.4,C
2018,s19,c193,219.3,C
2019,s19,c019,218.9,C
2017,s19,c119,218.9,C
2017,s27,c165,218.9,C
2018,s17,c183,218.8,C
2018,s19,c157,218.7,C
2016,s17,c147,218.7,C
2018,s19,c099,218.6,C
2010,s48,c195,218.6,C
2014,s17,c067,218.5,C
2014,s48,c341,218.5,C
2014,s17,c113,218.3,C
2019,s19,c193,218.2,C
2016,s17,c113,218.1,C
2016,s17,c155,218.1,C
2018,s17,c057,218,C
2017,s19,c055,218,C
2019,s19,c149,217.8,C
2014,s17,c021,217.8,C
2017,s17,c073,217.6,C
2015,s48,c341,217.6,C
2018,s31,c079,217.5,C
2014,s17,c203,217.5,C
2017,s19,c113,217.4,C
2019,s19,c165,217.3,C
2017,s19,c075,217.3,C
2018,s17,c015,217.1,C
2017,s19,c105,217,C
2017,s31,c099,216.9,C
2018,s13,c115,216.7,C
2017,s17,c147,216.7,C
2017,s19,c095,216.7,C
2018,s19,c083,216.6,C
2017,s19,c115,216.6,C
2017,s17,c115,216.5,C
2014,s17,c019,216.5,C
2019,s19,c061,216.4,C
2014,s17,c187,216.1,C
2019,s19,c009,216,C
2017,s13,c253,216,C
2016,s19,c163,216,C
2016,s19,c093,216,C
2018,s17,c195,215.9,C
2012,s13,c163,215.9,C
2017,s27,c039,215.8,C
2018,s18,c067,215.7,C
2017,s19,c093,215.7,C
2016,s46,c057,215.7,C
2017,s17,c139,215.6,C
2016,s17,c123,215.6,C
2016,s17,c037,215.6,C
2018,s18,c159,215.5,C
2018,s19,c113,215.4,C
2018,s31,c001,215.4,C
2017,s17,c011,215.4,C
2018,s17,c117,215.3,C
2017,s19,c011,215.3,C
2017,s27,c043,215.3,C
2016,s19,c031,215.3,C
2016,s19,c165,215.3,C
2018,s31,c185,215.1,C
2017,s19,c157,215.1,C
2017,s19,c061,215.1,C
2018,s17,c099,215,C
2017,s27,c161,215,C
2017,s31,c081,215,C
2019,s31,c081,214.9,C
2016,s17,c115,214.9,C
2014,s18,c159,214.9,C
2017,s27,c147,214.8,C
2015,s31,c185,214.8,C
2018,s31,c099,214.7,C
2017,s13,c165,214.7,C
2016,s17,c105,214.7,C
2016,s19,c099,214.7,C
2018,s19,c011,214.6,C
2016,s17,c143,214.6,C
2016,s17,c039,214.5,C
2016,s46,c011,214.4,C
2019,s31,c137,214.3,C
2018,s19,c183,214.3,C
2016,s19,c161,214.3,C
2011,s13,c163,214.3,C
2017,s17,c203,214.2,C
2017,s27,c099,214.2,C
2018,s17,c011,214.1,C
2014,s18,c023,214.1,C
2018,s19,c163,214,C
2018,s19,c047,214,C
2018,s39,c057,214,C
2017,s27,c091,214,C
2018,s17,c123,213.9,C
2018,s18,c023,213.9,C
2018,s19,c149,213.8,C
2017,s19,c141,213.8,C
2016,s19,c045,213.8,C
2011,s13,c201,213.8,C
2017,s19,c083,213.7,C
2017,s19,c043,213.6,C
2017,s31,c185,213.6,C
2014,s18,c165,213.6,C
2018,s19,c161,213.5,C
2016,s17,c131,213.5,C
2016,s19,c047,213.5,C
2017,s19,c131,213.4,C
2018,s17,c071,213.3,C
2018,s19,c035,213.3,C
2017,s19,c045,213.3,C
2016,s19,c157,213.2,C
2018,s17,c045,213.1,C
2017,s19,c103,213.1,C
2019,s13,c243,213,C
2019,s13,c253,213,C
2018,s39,c027,213,C
2017,s17,c107,213,C
2016,s31,c017,212.9,C
2015,s31,c081,212.9,C
2012,s13,c201,212.8,C
2017,s19,c017,212.7,C
2014,s48,c195,212.7,C
2014,s17,c029,212.6,C
2019,s19,c017,212.5,C
2012,s01,c051,212.5,C
2018,s19,c017,212.4,C
2017,s17,c053,212.4,C
2016,s17,c063,212.4,C
2018,s19,c103,212.3,C
2016,s18,c171,212.3,C
2014,s48,c421,212.3,C
2013,s20,c069,212.3,C
2016,s17,c109,212.2,C
2016,s19,c167,212.2,C
2019,s19,c037,212.1,C
2018,s31,c175,212.1,C
2018,s31,c103,212.1,C
2017,s27,c045,212.1,C
2012,s13,c253,212.1,C
2015,s31,c047,212,C
2018,s19,c167,211.9,C
2017,s17,c041,211.9,C
2016,s19,c169,211.9,C
2013,s20,c119,211.9,C
2018,s19,c061,211.8,C
2018,s19,c095,211.7,C
2017,s48,c341,211.7,C
2014,s20,c069,211.7,C
2014,s20,c119,211.7,C
2017,s19,c143,211.6,C
2014,s17,c105,211.6,C
2014,s17,c109,211.6,C
2017,s27,c047,211.5,C
2017,s31,c089,211.5,C
2016,s19,c061,211.5,C
2013,s18,c161,211.5,C
2017,s19,c023,211.4,C
2018,s19,c023,211.3,C
2018,s31,c113,211.3,C
2017,s19,c027,211.3,C
2017,s27,c079,211.3,C
2016,s19,c127,211.3,C
2017,s19,c009,211.2,C
2016,s17,c177,211.2,C
2019,s31,c141,211.1,C
2017,s27,c049,211.1,C
2018,s31,c143,211,C
2018,s19,c045,210.9,C
2015,s17,c175,210.9,C
2016,s17,c089,210.8,C
2016,s17,c161,210.8,C
2017,s19,c189,210.7,C
2016,s19,c191,210.7,C
2016,s19,c141,210.7,C
2015,s31,c099,210.7,C
2016,s19,c095,210.6,C
2016,s19,c017,210.6,C
2016,s19,c155,210.4,C
2017,s17,c155,210.3,C
2016,s19,c043,210.3,C
2016,s17,c019,210.2,C
2014,s18,c027,210.2,C
2014,s37,c039,210.2,C
2019,s31,c003,210.1,C
2017,s17,c099,210.1,C
2017,s19,c063,210.1,C
2014,s48,c357,210.1,C
2018,s39,c011,210,C
2017,s27,c157,210,C
2016,s19,c057,210,C
2011,s13,c279,210,C
2017,s17,c105,209.9,C
2019,s19,c075,209.8,C
2018,s39,c101,209.7,C
2014,s29,c107,209.7,C
2018,s19,c139,209.6,C
2015,s19,c035,209.6,C
2014,s13,c071,209.6,C
2019,s19,c023,209.5,C
2017,s17,c093,209.5,C
2017,s27,c013,209.5,C
2016,s48,c341,209.5,C
2014,s18,c171,209.5,C
2017,s17,c195,209.4,C
2016,s27,c103,209.4,C
2019,s19,c099,209.3,C
2016,s17,c129,209.3,C
2019,s31,c099,209.2,C
2017,s19,c013,209.2,C
2017,s27,c131,209.2,C
2016,s19,c149,209.2,C
2018,s17,c085,209.1,C
2018,s17,c177,209.1,C
2015,s17,c041,209.1,C
2018,s13,c087,209,C
2017,s17,c103,209,C
2016,s19,c079,209,C
2014,s20,c043,209,C
2014,s31,c081,209,C
2019,s19,c035,208.9,C
2018,s19,c105,208.9,C
2017,s19,c033,208.9,C
2015,s31,c001,208.8,C
2017,s17,c063,208.7,C
2017,s31,c003,208.7,C
2018,s39,c107,208.6,C
2016,s17,c041,208.6,C
2016,s19,c107,208.6,C
2016,s27,c043,208.5,C
2018,s19,c027,208.4,C
2016,s19,c015,208.4,C
2016,s19,c171,208.4,C
2017,s17,c029,208.3,C
2014,s17,c017,208.3,C
2016,s19,c183,208.2,C
2018,s18,c035,208.1,C
2014,s17,c143,208.1,C
2019,s19,c155,208,C
2018,s17,c093,208,C
2018,s31,c167,208,C
2016,s19,c083,208,C
2016,s17,c139,207.9,C
2016,s17,c073,207.9,C
2014,s17,c071,207.9,C
2015,s17,c039,207.8,C
2018,s19,c123,207.7,C
2018,s38,c081,207.6,C
2017,s19,c065,207.6,C
2016,s17,c067,207.6,C
2016,s27,c091,207.6,C
2018,s17,c105,207.5,C
2017,s27,c033,207.5,C
2015,s17,c115,207.5,C
2015,s27,c043,207.4,C
2016,s19,c023,207.3,C
2016,s19,c025,207.3,C
2014,s17,c123,207.3,C
2019,s31,c017,207.2,C
2018,s17,c061,207.2,C
2014,s29,c195,207.2,C
2018,s19,c019,207.1,C
2018,s31,c037,207.1,C
2017,s19,c165,207.1,C
2017,s27,c129,207.1,C
2014,s17,c175,207.1,C
2017,s17,c141,207,C
2016,s17,c071,207,C
2018,s18,c063,206.9,C
2018,s27,c163,206.9,C
2017,s19,c197,206.9,C
2016,s19,c119,206.9,C
2016,s31,c047,206.9,C
2018,s18,c031,206.8,C
2017,s17,c019,206.8,C
2017,s19,c139,206.8,C
2016,s17,c093,206.8,C
2016,s19,c151,206.8,C
2015,s20,c119,206.8,C
2015,s27,c103,206.8,C
2014,s28,c151,206.8,C
2018,s18,c117,206.7,C
2016,s19,c037,206.6,C
2014,s18,c157,206.6,C
2012,s31,c137,206.6,C
2019,s31,c185,206.5,C
2019,s31,c059,206.5,C
2018,s31,c051,206.5,C
2013,s48,c421,206.5,C
2018,s18,c171,206.4,C
2018,s28,c125,206.4,C
2018,s31,c089,206.4,C
2017,s17,c045,206.4,C
2017,s28,c053,206.4,C
2016,s19,c013,206.4,C
2014,s17,c173,206.4,C
2019,s17,c167,206.3,C
2018,s17,c155,206.2,C
2018,s19,c013,206.2,C
2017,s27,c085,206.2,C
2017,s27,c143,206.2,C
2015,s17,c139,206.2,C
2019,s17,c015,206.1,C
2017,s19,c069,206.1,C
2017,s27,c109,206.1,C
2017,s27,c133,206.1,C
2016,s19,c091,206.1,C
2016,s19,c009,206.1,C
2015,s27,c165,206.1,C
2012,s13,c087,206.1,C
2017,s17,c177,206,C
2017,s18,c171,206,C
2017,s55,c065,206,C
2018,s17,c103,205.9,C
2018,s39,c037,205.9,C
2016,s31,c089,205.9,C
2015,s17,c095,205.9,C
2019,s17,c137,205.8,C
2019,s31,c011,205.8,C
2017,s27,c103,205.8,C
2014,s05,c043,205.8,C
2014,s18,c031,205.8,C
2018,s17,c079,205.7,C
2018,s31,c003,205.7,C
2017,s31,c019,205.7,C
2015,s17,c131,205.7,C
2019,s17,c179,205.6,C
2019,s17,c017,205.6,C
2017,s19,c109,205.6,C
2017,s29,c107,205.6,C
2016,s17,c099,205.6,C
2016,s17,c137,205.6,C
2016,s19,c019,205.6,C
2018,s31,c041,205.5,C
2017,s27,c019,205.5,C
2017,s27,c063,205.5,C
2016,s19,c073,205.5,C
2016,s31,c137,205.5,C
2015,s19,c151,205.5,C
2017,s28,c151,205.4,C
2014,s31,c047,205.4,C
2019,s13,c201,205.3,C
2014,s18,c015,205.3,C
2014,s18,c107,205.3,C
2019,s31,c089,205.2,C
2018,s13,c261,205.2,C
2016,s27,c149,205.2,C
2015,s19,c141,205.2,C
2019,s19,c013,205.1,C
2018,s18,c095,205.1,C
2017,s48,c195,205.1,C
2016,s19,c005,205.1,C
2014,s17,c063,205.1,C
2014,s17,c135,205.1,C
2018,s31,c071,205,C
2018,s31,c035,205,C
2017,s21,c231,205,C
2016,s13,c253,205,C
2019,s19,c141,204.9,C
2017,s13,c163,204.9,C
2016,s17,c085,204.9,C
2019,s19,c171,204.8,C
2019,s19,c137,204.8,C
2018,s31,c179,204.8,C
2016,s19,c069,204.8,C
2015,s19,c161,204.8,C
2015,s31,c037,204.8,C
2014,s18,c045,204.8,C
2014,s31,c079,204.8,C
2018,s18,c015,204.7,C
2017,s17,c171,204.7,C
2016,s18,c111,204.7,C
2016,s19,c109,204.7,C
2016,s19,c123,204.7,C
2015,s19,c143,204.7,C
2019,s19,c055,204.6,C
2019,s31,c039,204.6,C
2017,s19,c099,204.6,C
2016,s19,c085,204.6,C
2016,s27,c161,204.6,C
2018,s31,c073,204.5,C
2017,s19,c071,204.5,C
2019,s17,c115,204.4,C
2018,s18,c053,204.4,C
2018,s19,c069,204.3,C
2019,s31,c027,204.2,C
2015,s13,c163,204.2,C
2015,s17,c015,204.2,C
2018,s18,c179,204.1,C
2017,s17,c037,204.1,C
2014,s17,c169,204.1,C
2014,s24,c019,204.1,C
2019,s37,c039,204,C
2018,s39,c023,204,C
2017,s01,c079,204,C
2017,s13,c243,204,C
2016,s17,c053,204,C
2016,s19,c049,204,C
2015,s19,c155,204,C
2015,s27,c039,204,C
2014,s05,c041,204,C
2014,s17,c183,204,C
2012,s13,c243,204,C
2019,s19,c133,203.9,C
2018,s18,c139,203.9,C
2018,s18,c161,203.9,C
2018,s28,c133,203.9,C
2017,s18,c111,203.9,C
2017,s31,c039,203.9,C
2016,s17,c183,203.9,C
2016,s17,c011,203.9,C
2018,s19,c107,203.7,C
2017,s19,c035,203.7,C
2016,s19,c143,203.7,C
2016,s19,c193,203.7,C
2016,s27,c081,203.6,C
2015,s19,c189,203.6,C
2015,s19,c149,203.6,C
2018,s17,c023,203.5,C
2016,s27,c083,203.5,C
2015,s13,c321,203.5,C
2017,s05,c021,203.4,C
2017,s19,c067,203.4,C
2017,s28,c133,203.4,C
2015,s27,c091,203.4,C
2014,s31,c099,203.4,C
2017,s39,c027,203.3,C
2016,s48,c357,203.3,C
2015,s19,c063,203.3,C
2018,s13,c163,203.2,C
2018,s13,c205,203.2,C
2017,s29,c087,203.2,C
2016,s17,c021,203.2,C
2016,s19,c027,203.1,C
2015,s19,c017,203.1,C
2015,s19,c093,203.1,C
2015,s31,c143,203.1,C
2015,s31,c179,203.1,C
2019,s19,c105,203,C
2018,s39,c033,203,C
2017,s13,c201,203,C
2016,s19,c139,203,C
2016,s27,c039,203,C
2016,s31,c003,203,C
2016,s55,c065,203,C
2015,s31,c141,203,C
2014,s31,c035,203,C
2019,s17,c175,202.9,C
2019,s19,c187,202.9,C
2019,s19,c067,202.9,C
2019,s19,c129,202.9,C
2019,s31,c103,202.9,C
2018,s39,c149,202.9,C
2016,s13,c163,202.9,C
2016,s48,c195,202.9,C
2016,s27,c127,202.8,C
2015,s19,c037,202.8,C
2015,s19,c041,202.8,C
2019,s19,c069,202.7,C
2018,s55,c043,202.7,C
2015,s19,c021,202.7,C
2014,s20,c097,202.6,C
2018,s17,c169,202.5,C
2016,s19,c065,202.5,C
2018,s19,c097,202.4,C
2018,s31,c025,202.4,C
2017,s22,c083,202.4,C
2016,s55,c043,202.4,C
2015,s27,c049,202.4,C
2014,s17,c001,202.4,C
2014,s18,c007,202.4,C
2010,s31,c137,202.4,C
2016,s17,c017,202.3,C
2016,s19,c055,202.3,C
2016,s31,c081,202.3,C
2015,s19,c193,202.3,C
2017,s19,c073,202.2,C
2016,s19,c089,202.2,C
2012,s13,c321,202.2,C
2017,s19,c097,202.1,C
2016,s19,c097,202.1,C
2015,s19,c131,202.1,C
2015,s19,c195,202.1,C
2015,s19,c089,202.1,C
2015,s31,c035,202.1,C
2013,s31,c079,202.1,C
2013,s37,c029,202.1,C
2019,s13,c099,202,C
2018,s21,c183,202,C
2016,s19,c041,202,C
2015,s17,c187,202,C
2015,s31,c019,202,C
2014,s31,c037,202,C
2017,s27,c037,201.9,C
2015,s19,c167,201.9,C
2013,s48,c357,201.9,C
2017,s17,c125,201.8,C
2016,s46,c039,201.8,C
2015,s27,c047,201.8,C
2018,s17,c053,201.7,C
2018,s18,c007,201.7,C
2017,s19,c089,201.7,C
2014,s17,c171,201.7,C
2014,s28,c125,201.7,C
2018,s19,c141,201.6,C
2018,s27,c151,201.6,C
2016,s55,c105,201.6,C
2015,s31,c089,201.6,C
2013,s05,c037,201.6,C
2019,s47,c149,201.5,C
2018,s19,c043,201.5,C
2016,s13,c001,201.5,C
2015,s28,c125,201.5,C
2014,s17,c045,201.5,C
2013,s31,c185,201.5,C
2019,s19,c073,201.4,C
2019,s31,c037,201.4,C
2018,s18,c169,201.4,C
2018,s27,c109,201.4,C
2018,s28,c151,201.4,C
2016,s27,c143,201.4,C
2016,s27,c147,201.4,C
2015,s27,c013,201.4,C
2015,s27,c147,201.4,C
2014,s17,c095,201.4,C
2019,s31,c149,201.3,C
2018,s19,c111,201.3,C
2018,s19,c073,201.3,C
2018,s31,c059,201.3,C
2016,s19,c105,201.3,C
2014,s05,c069,201.3,C
2014,s10,c005,201.3,C
2017,s27,c067,201.2,C
2017,s28,c119,201.2,C
2016,s27,c133,201.2,C
2015,s19,c081,201.2,C
2015,s27,c079,201.2,C
2014,s05,c093,201.2,C
2013,s31,c081,201.2,C
2012,s05,c041,201.2,C
2018,s18,c157,201.1,C
2017,s17,c039,201.1,C
2016,s19,c021,201.1,C
2015,s17,c007,201.1,C
2015,s27,c131,201.1,C
2014,s17,c053,201.1,C
2018,s17,c063,201,C
2018,s18,c009,201,C
2018,s39,c135,201,C
2017,s24,c019,201,C
2015,s17,c203,201,C
2015,s19,c187,201,C
2014,s29,c087,201,C
2012,s31,c099,201,C
2018,s27,c169,200.9,C
2018,s48,c195,200.9,C
2017,s19,c091,200.9,C
2017,s27,c127,200.9,C
2016,s17,c103,200.9,C
2016,s55,c021,200.9,C
2015,s27,c063,200.9,C
2014,s19,c101,200.9,C
2016,s19,c187,200.8,C
2018,s27,c149,200.7,C
2017,s27,c023,200.7,C
2018,s31,c029,200.6,C
2014,s18,c011,200.6,C
2014,s18,c067,200.6,C
2014,s19,c111,200.6,C
2019,s19,c065,200.5,C
2017,s19,c193,200.5,C
2017,s28,c027,200.5,C
2014,s28,c053,200.5,C
2019,s19,c191,200.4,C
2017,s17,c061,200.4,C
2016,s27,c101,200.4,C
2014,s10,c001,200.4,C
2019,s19,c157,200.3,C
2019,s19,c029,200.3,C
2019,s27,c163,200.3,C
2018,s31,c027,200.3,C
2017,s19,c153,200.3,C
2017,s19,c169,200.3,C
2016,s19,c113,200.3,C
2016,s19,c081,200.3,C
2016,s27,c033,200.3,C
2015,s31,c079,200.3,C
2014,s18,c005,200.3,C
2014,s18,c021,200.3,C
2019,s19,c083,200.2,C
2018,s27,c039,200.2,C
2017,s19,c081,200.2,C
2016,s19,c197,200.2,C
2016,s19,c115,200.2,C
2015,s19,c069,200.2,C
2015,s27,c019,200.2,C
2014,s28,c083,200.2,C
2018,s19,c065,200.1,C
2017,s19,c057,200.1,C
2017,s27,c139,200.1,C
2015,s31,c039,200.1,C
2019,s21,c231,200,C
2018,s05,c093,200,C
2018,s31,c153,200,C
2018,s31,c039,200,C
2018,s31,c107,200,C
2018,s39,c109,200,C
2017,s13,c287,200,C
2017,s18,c049,200,C
2017,s18,c107,200,C
2016,s18,c107,200,C
2016,s27,c173,200,C
2014,s18,c161,200,C
2013,s13,c001,200,C
2017,s28,c051,199.9,C
2016,s19,c011,199.9,C
2016,s27,c151,199.9,C
2015,s19,c075,199.9,C
2014,s17,c083,199.9,C
2013,s13,c087,199.9,C
2017,s31,c079,199.8,C
2016,s17,c111,199.8,C
2016,s19,c153,199.8,C
2015,s05,c069,199.8,C
2013,s17,c021,199.8,C
2019,s17,c147,199.7,C
2019,s31,c119,199.7,C
2019,s55,c105,199.7,C
2017,s19,c191,199.7,C
2017,s31,c001,199.7,C
2014,s28,c119,199.7,C
2012,s13,c279,199.7,C
2017,s20,c119,199.6,C
2016,s27,c023,199.6,C
2016,s31,c011,199.6,C
2015,s13,c201,199.6,C
2014,s13,c163,199.6,C
2013,s17,c015,199.6,C
2019,s13,c287,199.5,C
2017,s28,c015,199.5,C
2016,s27,c117,199.5,C
2016,s31,c019,199.5,C
2016,s31,c119,199.5,C
2015,s27,c037,199.5,C
2015,s27,c033,199.5,C
2015,s27,c101,199.5,C
2014,s17,c117,199.5,C
2014,s17,c149,199.5,C
2013,s31,c137,199.5,C
2015,s31,c059,199.4,C
2014,s39,c027,199.4,C
2017,s21,c183,199.3,C
2017,s31,c053,199.3,C
2016,s27,c169,199.3,C
2015,s19,c083,199.3,C
2015,s19,c095,199.3,C
2018,s17,c121,199.2,C
2018,s31,c139,199.2,C
2017,s18,c007,199.2,C
2016,s17,c117,199.2,C
2016,s18,c007,199.2,C
2015,s17,c113,199.2,C
2015,s27,c161,199.2,C
2019,s42,c071,199.1,C
2017,s19,c137,199.1,C
2016,s19,c131,199.1,C
2015,s19,c047,199.1,C
2014,s21,c183,199.1,C
2012,s48,c421,199.1,C
2019,s31,c179,199,C
2017,s17,c075,199,C
2016,s17,c195,199,C
2016,s19,c087,199,C
2016,s55,c045,199,C
2015,s19,c109,199,C
2014,s19,c057,199,C
2013,s05,c001,199,C
2013,s13,c071,199,C
2018,s13,c253,198.9,C
2018,s18,c011,198.9,C
2018,s18,c111,198.9,C
2018,s46,c011,198.9,C
2017,s01,c083,198.9,C
2017,s29,c195,198.9,C
2015,s05,c037,198.9,C
2015,s19,c099,198.9,C
2014,s05,c085,198.9,C
2019,s17,c113,198.8,C
2019,s19,c189,198.8,C
2019,s19,c025,198.8,C
2019,s48,c421,198.8,C
2018,s19,c101,198.8,C
2018,s39,c097,198.8,C
2017,s22,c077,198.8,C
2016,s27,c129,198.8,C
2015,s26,c063,198.8,C
2015,s27,c133,198.8,C
2014,s17,c061,198.8,C
2019,s17,c021,198.7,C
2019,s19,c091,198.7,C
2019,s19,c109,198.7,C
2016,s31,c099,198.7,C
2015,s27,c099,198.7,C
2014,s31,c059,198.7,C
2018,s18,c041,198.6,C
2018,s28,c055,198.6,C
2017,s17,c173,198.6,C
2017,s17,c057,198.6,C
2017,s21,c091,198.6,C
2017,s39,c023,198.6,C
2016,s17,c125,198.6,C
2015,s31,c003,198.6,C
2014,s18,c133,198.6,C
2019,s47,c055,198.5,C
2018,s18,c065,198.5,C
2017,s19,c195,198.5,C
2016,s18,c159,198.5,C
2016,s19,c075,198.5,C
2016,s19,c063,198.5,C
2015,s27,c053,198.5,C
2014,s18,c063,198.5,C
2013,s20,c189,198.5,C
2018,s19,c005,198.4,C
2015,s17,c123,198.4,C
2015,s19,c197,198.4,C
2019,s17,c119,198.3,C
2019,s19,c147,198.3,C
2019,s55,c043,198.3,C
2018,s27,c011,198.3,C
2012,s20,c069,198.3,C
2010,s48,c357,198.3,C
2019,s19,c079,198.2,C
2019,s31,c053,198.2,C
2018,s17,c141,198.2,C
2017,s18,c117,198.2,C
2016,s19,c077,198.2,C
2016,s27,c045,198.2,C
2014,s17,c057,198.2,C
2014,s17,c013,198.2,C
2013,s17,c167,198.2,C
2011,s31,c081,198.2,C
2018,s19,c191,198.1,C
2018,s27,c073,198.1,C
2018,s39,c061,198.1,C
2017,s18,c037,198.1,C
2015,s19,c079,198.1,C
2014,s17,c023,198.1,C
2013,s17,c107,198.1,C
2018,s27,c157,198,C
2018,s38,c073,198,C
2018,s39,c137,198,C
2016,s19,c125,198,C
2018,s13,c071,197.9,C
2017,s17,c197,197.9,C
2017,s19,c187,197.9,C
2017,s26,c063,197.9,C
2016,s19,c189,197.9,C
2014,s17,c099,197.9,C
2014,s39,c061,197.9,C
2013,s13,c287,197.9,C
2012,s13,c287,197.9,C
2012,s13,c205,197.9,C
2012,s22,c041,197.9,C
2018,s17,c001,197.8,C
2018,s17,c119,197.8,C
2018,s31,c077,197.8,C
2017,s21,c059,197.8,C
2017,s31,c143,197.8,C
2017,s31,c059,197.8,C
2016,s18,c015,197.8,C
2016,s27,c051,197.8,C
2016,s31,c039,197.8,C
2015,s19,c157,197.8,C
2014,s28,c051,197.8,C
2013,s05,c085,197.8,C
2012,s13,c185,197.8,C
2017,s28,c083,197.7,C
2016,s27,c099,197.7,C
2014,s31,c185,197.7,C
2019,s19,c011,197.6,C
2017,s19,c077,197.6,C
2017,s27,c055,197.6,C
2016,s31,c185,197.6,C
2015,s01,c051,197.6,C
2015,s27,c127,197.6,C
2014,s29,c143,197.6,C
2014,s31,c183,197.6,C
2019,s19,c043,197.5,C
2019,s47,c075,197.5,C
2018,s18,c165,197.5,C
2017,s28,c163,197.5,C
2016,s17,c007,197.5,C
2016,s18,c165,197.5,C
2016,s38,c073,197.5,C
2015,s19,c147,197.5,C
2014,s22,c041,197.5,C
2014,s31,c153,197.5,C
2012,s28,c125,197.5,C
2018,s27,c155,197.4,C
2017,s19,c029,197.4,C
2019,s27,c103,197.3,C
2019,s31,c155,197.3,C
2018,s27,c161,197.3,C
2018,s31,c023,197.3,C
2018,s31,c053,197.3,C
2018,s55,c065,197.3,C
2017,s19,c041,197.3,C
2014,s18,c057,197.3,C
2014,s18,c139,197.3,C
2014,s18,c129,197.3,C
2018,s05,c111,197.2,C
2014,s05,c107,197.2,C
2017,s27,c101,197.1,C
2017,s31,c167,197.1,C
2013,s18,c015,197.1,C
2019,s19,c197,197,C
2019,s31,c167,197,C
2018,s18,c109,197,C
2017,s17,c135,197,C
2016,s19,c101,197,C
2015,s19,c061,197,C
2014,s18,c109,197,C
2014,s19,c045,197,C
2014,s42,c029,197,C
2019,s31,c047,196.9,C
2018,s18,c181,196.9,C
2018,s39,c003,196.9,C
2018,s47,c051,196.9,C
2017,s17,c137,196.9,C
2017,s18,c089,196.9,C
2017,s27,c015,196.9,C
2016,s17,c135,196.9,C
2016,s19,c179,196.9,C
2015,s19,c033,196.9,C
2014,s18,c117,196.9,C
2018,s18,c133,196.8,C
2018,s21,c017,196.8,C
2018,s47,c185,196.8,C
2015,s10,c001,196.8,C
2015,s17,c011,196.8,C
2014,s24,c035,196.8,C
2013,s31,c141,196.8,C
2019,s19,c153,196.7,C
2019,s19,c077,196.7,C
2018,s27,c121,196.7,C
2015,s28,c083,196.7,C
2014,s42,c071,196.7,C
2019,s31,c139,196.6,C
2019,s55,c065,196.6,C
2015,s48,c357,196.6,C
